                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                 1.6689,                0.70047,                0.89627,                0.87014,                0.71585,                0.76787,                0.40033,                 1.8065,                0.78044,                0.98693,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.7399,                 0.7306,                0.90766,                0.87957,                0.71901,                0.76857,                0.40099,                 1.7557,                0.76999,                0.97475,               0.000911,               0.000911,               0.000911
                     57,                 1.6832,                0.70582,                0.89932,                0.87773,                0.71755,                0.76994,                 0.4075,                 1.7437,                0.76028,                0.97536,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.6657,                 0.6929,                0.90497,                0.87558,                0.71317,                0.76746,                0.40383,                 1.7786,                0.75843,                0.98469,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.7096,                0.72408,                0.91314,                0.88226,                0.71635,                0.77475,                0.41153,                 1.7623,                0.75263,                0.97642,              0.0008516,              0.0008516,              0.0008516
                     60,                  1.651,                0.70363,                0.90142,                0.87524,                0.71689,                0.76721,                0.40351,                  1.743,                0.75964,                0.97571,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.6767,                0.71763,                0.90678,                0.87397,                0.71576,                0.77355,                0.40522,                 1.7535,                0.76888,                0.97812,               0.000812,               0.000812,               0.000812
                     62,                  1.724,                0.69187,                0.91533,                0.89251,                0.72233,                 0.7798,                0.41319,                 1.7615,                0.76471,                0.98184,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.6898,                0.68928,                0.90085,                0.85949,                0.70321,                0.76023,                0.38407,                 1.7853,                0.78122,                0.97398,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.7222,                0.70192,                0.89902,                0.88649,                0.72678,                0.79245,                0.41551,                 1.7676,                0.76354,                0.97392,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.6893,                0.70129,                 0.9056,                0.89211,                0.72837,                 0.7918,                0.41985,                 1.7218,                 0.7481,                 0.9655,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.6857,                0.70494,                 0.9006,                0.89735,                0.72996,                0.78916,                0.41051,                 1.7476,                0.75319,                0.97132,               0.000713,               0.000713,               0.000713
                     67,                 1.7216,                0.69523,                0.89819,                 0.8907,                0.72508,                0.77649,                0.39925,                 1.7513,                 0.7729,                0.96831,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.5846,                0.66317,                 0.8883,                0.89236,                0.71997,                0.78256,                0.41549,                 1.7267,                0.73999,                0.96945,              0.0006734,              0.0006734,              0.0006734
